1.#INF00;1.#INF00;9.944306e-001;0.002000
2.774910;1.271834;6.727493e-003;0.012000
2.625238;1.203234;6.602853e-003;0.013000
3.230683;1.480730;6.480604e-003;0.011000
2.781011;1.274630;6.360697e-003;0.012000
2.705988;1.240245;6.243082e-003;0.341000
1.681787;0.770819;6.127709e-003;0.019000
2.683171;1.229787;6.014532e-003;0.013000
1.625050;0.744815;5.903504e-003;0.021000
1.688409;0.773854;5.794580e-003;0.020000
1.766094;0.809460;5.687716e-003;0.021000
1.851389;0.848553;5.585736e-003;0.019000
1.403864;0.643438;5.486181e-003;0.025000
1.464272;0.671125;5.388444e-003;0.023000
1.915246;0.877821;5.292488e-003;0.019000
1.583742;0.725882;5.198278e-003;0.022000
1.659438;0.760576;5.105778e-003;0.021000
2.017069;0.924490;5.014953e-003;0.016000
2.399284;1.099672;4.925769e-003;0.014000
2.465521;1.130031;4.838194e-003;0.016000
2.084741;0.955506;4.752194e-003;0.016000
1.980000;0.907500;4.667739e-003;0.017000
1.956059;0.896527;4.584797e-003;0.019000
2.413686;1.106273;4.503338e-003;0.014000
2.452900;1.124246;4.423333e-003;0.014000
1.978456;0.906793;4.344752e-003;0.018000
1.974873;0.905150;4.267567e-003;0.019000
1.755613;0.804656;4.192511e-003;0.021000
2.331935;1.068803;4.121016e-003;0.016000
2.189386;1.003469;4.050741e-003;0.015000
2.559236;1.172983;3.981661e-003;0.015000
2.140200;0.980925;3.913755e-003;0.017000
1.527672;0.700183;3.846999e-003;0.024000
1.726252;0.791199;3.781373e-003;0.022000
2.060339;0.944322;3.716855e-003;0.018000
2.278221;1.044185;3.653424e-003;0.016000
2.155447;0.987913;3.591059e-003;0.018000
1.356236;0.621608;3.529741e-003;0.029000
1.736680;0.795978;3.469451e-003;0.023000
2.131574;0.976972;3.411150e-003;0.018000
1.627333;0.745861;3.355639e-003;0.023000
1.492875;0.684234;3.301016e-003;0.027000
2.473975;1.133905;3.247263e-003;0.015000
2.029557;0.930214;3.194366e-003;0.018000
1.958131;0.897477;3.142310e-003;0.018000
1.871896;0.857952;3.091079e-003;0.021000
2.281816;1.045833;3.040660e-003;0.018000
2.638423;1.209277;2.991038e-003;0.016000
2.069250;0.948406;2.942948e-003;0.019000
2.933335;1.344445;2.897557e-003;0.015000
2.543976;1.165989;2.852846e-003;0.015000
2.140508;0.981066;2.808804e-003;0.020000
2.521122;1.155514;2.765419e-003;0.017000
2.454888;1.125157;2.722682e-003;0.017000
1.973927;0.904717;2.680581e-003;0.020000
2.372321;1.087314;2.639106e-003;0.018000
2.413040;1.105977;2.600575e-003;0.016000
2.407915;1.103628;2.562861e-003;0.017000
2.495902;1.143955;2.525675e-003;0.017000
2.531034;1.160057;2.489009e-003;0.016000
2.392526;1.096574;2.452855e-003;0.018000
2.928478;1.342219;2.417206e-003;0.015000
2.451105;1.123423;2.383183e-003;0.018000
2.669267;1.223414;2.350979e-003;0.015000
2.726711;1.249742;2.319194e-003;0.016000
2.909415;1.333482;2.287823e-003;0.015000
2.438206;1.117511;2.256859e-003;0.016000
2.315300;1.061179;2.226299e-003;0.019000
2.164777;0.992190;2.197094e-003;0.020000
2.081232;0.953898;2.169641e-003;0.020000
2.221857;1.018351;2.142519e-003;0.020000
2.326607;1.066362;2.117116e-003;0.020000
2.345864;1.075188;2.093591e-003;0.017000
2.368126;1.085391;2.071997e-003;0.018000
2.327451;1.066748;2.050606e-003;0.018000
2.733504;1.252856;2.029417e-003;0.016000
2.516432;1.153365;2.008431e-003;0.019000
2.243257;1.028159;1.987646e-003;0.019000
2.093018;0.959300;1.967062e-003;0.022000
2.367719;1.085205;1.946679e-003;0.018000
2.641892;1.210867;1.927999e-003;0.017000
2.534988;1.161870;1.909822e-003;0.018000
2.753795;1.262156;1.891801e-003;0.017000
2.745548;1.258376;1.873936e-003;0.017000
2.065403;0.946643;1.856228e-003;0.021000
1.934701;0.886738;1.838677e-003;0.023000
2.517999;1.154083;1.821281e-003;0.017000
2.687475;1.231760;1.804042e-003;0.017000
2.614334;1.198236;1.786960e-003;0.019000
2.886945;1.323183;1.771294e-003;0.015000
2.575841;1.180594;1.756024e-003;0.017000
2.606903;1.194831;1.740877e-003;0.019000
2.790454;1.278958;1.725854e-003;0.017000
2.762958;1.266356;1.710955e-003;0.017000
2.413719;1.106288;1.696180e-003;0.020000
3.000188;1.375086;1.681530e-003;0.017000
2.189517;1.003528;1.667005e-003;0.022000
2.151739;0.986214;1.652604e-003;0.022000
2.485036;1.138975;1.638328e-003;0.018000
2.844269;1.303623;1.624177e-003;0.016000
2.544503;1.166231;1.610362e-003;0.018000
2.270745;1.040758;1.597664e-003;0.021000
2.336044;1.070687;1.585067e-003;0.021000
2.488944;1.140766;1.572571e-003;0.018000
2.153120;0.986847;1.560177e-003;0.021000
2.316815;1.061874;1.547886e-003;0.019000
